Tratamiento	pH	OD	Temperatura	ORP	Conductividad
Salida Pennisetum	7.5000	3.6000	24.9000	93.5000	368.0000
Entrada	7.3500	2.8000	25.9000	125.0000	372.0000
Salida Control	7.5000	5.5000	25.8000	90.0000	293.0000
Salida Pennisetum	7.5500	3.4000	26.1000	89.2000	367.0000
Entrada	6.4100	3.3000	25.3000	-136.0000	378.0000
Salida Control	6.3800	5.0000	25.5000	55.4000	377.0000
Salida Pennisetum	6.4200	5.4000	27.0000	24.8000	302.0000
Entrada	7.1800	3.4000	24.0000	-135.1000	383.0000
Salida Control	7.1500	5.1000	26.1000	50.7000	300.0000
Salida Pennisetum	7.1000	4.5000	25.5000	50.3000	375.0000
Entrada	6.0900	3.0000	23.5000	-171.6000	386.0000
Salida Control	7.5000	6.0000	22.9000	-51.1000	237.3000
Salida Pennisetum	7.5800	5.1000	22.9000	3.2000	250.0000
Entrada	7.4200	4.1000	24.8000	-120.2000	252.6000
Salida Control	7.2700	5.7000	23.2000	6.4000	238.0000
Salida Pennisetum	7.5200	5.1000	23.7000	67.1000	249.3000
Entrada	7.3800	5.0000	25.0000	-50.6000	251.1000
Salida Control	6.4100	5.2000	23.8000	6.8000	235.3000
Salida Pennisetum	7.3600	5.3000	24.2000	21.2000	245.2000
Entrada	7.4600	5.4000	25.0000	-24.4000	248.8000
Salida Control	7.3700	5.0000	25.0000	116.0000	268.0000
Salida Pennisetum	7.6400	4.9000	25.0000	110.0000	312.0000
Entrada	7.2300	4.6000	26.0000	-8.8000	379.0000
Salida Control	7.3200	4.1000	28.2000	260.9000	277.0000
Salida Pennisetum	7.4900	3.6000	27.0000	237.3000	313.0000
Entrada	7.2700	4.4000	25.6000	-42.6000	378.0000
Salida Control	7.4000	4.7000	27.7000	21.2000	274.0000
Salida Pennisetum	7.5600	4.5000	26.6000	50.8000	316.0000
Entrada	7.2000	6.1000	24.3000	-38.8000	378.0000
Salida Control	7.3200	5.4000	26.6000	35.5000	271.0000
Salida Pennisetum	7.4500	4.6000	26.2000	64.0000	317.0000
Entrada	7.0400	4.0000	22.9000	277.6000	373.0000
Salida Control	7.3300	6.8000	26.6000	178.3000	264.0000
Salida Pennisetum	7.1800	4.3000	22.1000	214.8000	274.0000
Entrada	7.5300	5.1000	22.9000	-20.0000	373.0000
Salida Control	7.6000	6.0000	22.4000	1.5000	264.0000
Salida Pennisetum	7.6600	5.7000	23.0000	40.1000	278.0000
Entrada	7.5400	5.7000	23.3000	-13.4000	373.0000
Salida Control	7.6300	5.7000	22.6000	6.1000	273.0000
Salida Pennisetum	7.7200	4.9000	22.6000	32.9000	280.0000
Entrada	7.2600	4.5000	24.6000	153.8000	373.0000
Salida Control	7.6100	6.1000	23.0000	107.3000	261.0000
Salida Pennisetum	7.5200	5.2000	24.0000	109.7000	278.0000
Entrada	7.4800	4.0000	25.2000	13.6000	376.0000
Salida Control	7.5600	6.1000	23.3000	-27.8000	262.0000
Salida Pennisetum	7.6700	5.4000	24.7000	0.3000	280.0000
