vecinos	especie	incre
3	flexuosa	14.53
1	flexuosa	25.03
3	flexuosa	14.88
5	flexuosa	5.96
2	flexuosa	20.38
3	flexuosa	14.76
1	flexuosa	23.72
3	flexuosa	14.66
3	chilensis	14.11
5	chilensis	3.51
2	chilensis	19.52
5	chilensis	4.92
3	chilensis	14.97
2	chilensis	20.88
5	chilensis	6.01
4	chilensis	10.32
4	chilensis	10.72
3	chilensis	14.86
2	chilensis	19.36
3	chilensis	14.85
4	chilensis	10.24
5	chilensis	4.68
2	chilensis	19.29
2	chilensis	18.69
5	chilensis	3.57
4	chilensis	10.22
2	chilensis	18.86
0	nigra	32.65
3	nigra	17.08
4	nigra	11.43
3	nigra	16.57
4	nigra	12.98
2	nigra	24.07
1	nigra	26.91
3	nigra	16.74
4	nigra	11.97
5	nigra	7.71
2	nigra	23.72
5	nigra	7.88
