Hillside_position	DQ.C	DQ.S	DQ.A	DQ.B	DQ.T	DQ.R	DQ.E	DQ.O	DQ.Q	LA
Noruega fria	5.00	5.00	5.67	5.33	5.00	5.00	5.33	5.33	77.33	63.95
Noruega fria	5.33	5.00	5.33	5.67	5.00	5.00	5.00	5.33	78.00	67.82
Noruega fria	5.00	5.33	5.33	5.67	5.00	5.33	5.33	5.00	78.00	60.61
Noruega fria	5.00	5.00	5.00	6.00	5.00	5.33	5.33	5.33	78.33	28.62
Noruega fria	5.00	5.33	5.33	6.00	5.00	5.33	5.33	5.33	78.67	60.79
Noruega fria	5.33	5.33	5.33	6.00	5.33	5.67	5.33	5.00	78.67	52.63
Noruega fria	5.67	5.33	5.67	5.67	5.00	5.00	5.33	5.33	79.00	46.38
Noruega fria	5.33	5.33	5.67	5.67	5.00	5.33	5.33	5.33	79.00	NA
Noruega fria	5.33	5.67	5.33	6.00	5.00	5.33	5.33	5.67	79.30	40.36
Noruega fria	5.33	5.33	5.67	5.67	5.00	5.33	5.33	5.67	79.33	44.58
Noruega fria	5.00	5.67	5.67	5.67	5.00	5.33	5.33	5.67	79.33	49.30
Noruega fria	5.33	5.67	6.00	5.33	5.33	5.00	5.67	5.33	79.67	46.26
Noruega fria	5.33	5.33	5.67	6.00	5.33	5.33	5.33	5.67	80.00	45.55
Noruega fria	5.33	5.67	5.33	5.67	5.00	5.67	5.33	6.00	80.00	NA
Noruega fria	5.67	5.33	5.67	5.67	5.00	5.00	5.67	5.67	80.00	54.84
Noruega fria	5.67	5.33	5.67	6.00	5.00	5.33	5.33	5.67	80.00	48.91
Noruega fria	6.00	5.00	6.00	5.67	5.00	5.00	6.00	5.33	80.00	59.16
Noruega fria	5.67	5.67	5.33	5.33	5.33	5.67	5.67	5.67	80.33	57.57
Noruega fria	6.00	5.33	5.33	5.67	5.33	5.33	5.67	5.67	80.33	NA
Noruega fria	5.67	5.33	6.00	5.67	5.33	5.00	5.33	5.67	80.33	57.21
Noruega fria	5.00	5.33	6.00	5.67	5.33	5.33	5.33	6.33	80.33	42.44
Noruega fria	5.67	5.67	5.67	5.67	5.00	5.33	5.67	5.67	80.33	64.87
Noruega fria	5.33	5.67	5.67	6.00	5.33	5.33	5.33	5.67	80.33	62.88
Noruega fria	5.67	5.67	5.67	5.67	5.33	5.33	5.67	5.67	80.67	45.58
Noruega fria	5.33	5.67	5.67	6.00	5.33	5.33	5.67	5.67	80.67	47.92
Noruega fria	5.33	5.67	5.33	6.00	5.33	5.33	5.67	5.33	80.67	47.96
Noruega fria	6.00	5.67	5.67	5.67	5.67	5.00	5.67	5.33	80.67	71.69
Noruega fria	5.33	5.67	5.33	6.00	5.33	5.67	5.67	6.00	80.67	NA
Noruega fria	5.67	5.67	5.67	6.00	5.33	5.00	5.67	5.67	80.67	58.24
Noruega fria	5.33	5.67	6.00	5.67	5.00	5.67	5.67	6.00	80.67	NA
Noruega fria	5.67	5.67	5.67	5.67	5.33	5.33	5.67	5.67	80.67	NA
Noruega fria	5.67	5.67	6.00	5.67	5.33	5.33	6.00	5.33	81.00	34.79
Noruega fria	5.67	5.67	5.67	6.00	5.33	5.33	6.00	5.33	81.00	44.67
Noruega fria	5.67	5.67	5.67	6.00	5.33	5.67	5.33	6.00	81.00	38.70
Noruega fria	5.67	5.67	5.67	6.00	5.33	5.33	5.67	5.67	81.00	44.67
Noruega fria	6.00	5.50	5.50	5.50	5.00	6.00	6.00	6.00	81.00	45.78
Noruega fria	6.00	5.67	5.67	5.33	5.67	5.67	6.00	5.67	81.00	NA
Noruega fria	6.00	5.33	5.67	5.67	5.67	5.33	6.00	5.67	81.33	35.23
Noruega fria	5.67	5.67	5.67	6.00	5.33	5.67	5.67	5.67	81.33	48.00
Noruega fria	5.67	5.67	5.67	5.67	5.67	5.67	5.67	5.67	81.33	60.23
Noruega fria	5.67	5.33	6.00	6.00	5.33	5.67	5.67	5.67	81.33	NA
Noruega fria	6.00	5.33	5.67	5.67	6.33	5.33	6.00	5.67	81.67	57.38
Noruega fria	6.00	5.33	5.33	6.33	5.67	5.67	5.67	5.67	81.67	65.07
Noruega fria	6.00	5.67	5.67	5.67	5.67	5.67	5.67	6.00	82.00	60.75
Noruega fria	5.67	5.67	5.67	6.00	5.67	5.67	5.67	6.00	82.00	38.47
Noruega fria	5.83	5.67	5.83	5.67	5.67	5.67	5.67	6.00	82.00	58.49
Noruega fria	6.00	5.33	6.00	5.67	5.67	5.33	6.00	6.00	82.00	67.35
Noruega fria	6.00	5.00	5.67	5.67	5.67	5.67	6.00	6.00	82.33	45.90
Noruega fria	5.67	6.00	5.67	5.67	6.00	5.67	6.00	5.67	82.33	45.16
Noruega fria	6.00	5.67	6.00	5.67	5.67	5.67	6.33	5.67	82.33	51.08
Noruega fria	6.00	6.00	5.67	6.00	6.00	5.33	5.67	5.67	82.33	71.31
Noruega fria	5.67	5.33	6.33	6.00	6.00	5.33	6.00	5.67	82.33	56.00
Noruega fria	6.00	6.00	5.33	6.00	5.67	5.67	6.00	5.67	82.33	57.09
Noruega fria	6.00	5.67	6.00	6.00	5.33	5.67	6.00	5.67	82.33	59.56
Noruega fria	5.67	6.33	5.67	6.00	5.67	5.33	6.00	6.00	82.67	79.17
Noruega fria	6.00	5.67	5.33	6.33	6.00	5.67	6.00	5.67	82.67	58.46
Noruega fria	6.00	6.00	6.00	5.67	6.00	5.67	5.67	5.67	82.67	62.53
Noruega fria	6.00	6.00	6.00	6.00	5.67	5.67	5.67	6.00	83.00	49.02
