Anio	Estacion	Sitio	Cuadrante	Area_m2	Especie	Abundancia	A	gs	Fv/Fm	Chl_total
2009	Seca	BS1	1	10	SJ	12	3.47	227	0.787	4.2
2009	Seca	BS1	2	10	SJ	12	2.64	158	0.841	3.6
2009	Seca	BS1	3	10	SJ	14	3.68	181	0.807	3.9
2009	Seca	BS1	4	10	SJ	14	3.26	174	0.811	2.9
2009	Seca	BS1	5	10	SJ	17	3.5	200	0.796	3.4
2009	Seca	BS1	6	10	SJ	10	4	138	0.837	4.3
2009	Seca	BS1	7	10	SJ	17	2.62	218	0.785	3.8
2009	Seca	BS1	8	10	SJ	18	3.42	190	0.767	3.3
2009	Seca	BS1	9	10	SJ	14	4.34	248	0.805	4.1
2009	Seca	BS1	10	10	SJ	11	3.22	165	0.8	3.4
2009	Seca	BS1	11	10	SJ	18	3.19	242	0.795	3.2
2009	Seca	BS1	12	10	SJ	14	3.11	147	0.773	4.4
2009	Seca	BS1	13	10	SJ	10	3.24	204	0.824	4.1
2009	Seca	BS1	14	10	SJ	15	3.03	218	0.787	3.8
2009	Seca	BS1	15	10	SJ	17	3.52	192	0.779	3.3
2009	Seca	BS1	16	10	SJ	12	2.91	227	0.811	4
2009	Seca	BS1	17	10	SJ	10	3.75	183	0.816	2.6
2009	Seca	BS1	18	10	SJ	16	3.94	197	0.8	2.2
2009	Seca	BS1	19	10	SJ	16	3.12	205	0.804	4
2009	Seca	BS1	20	10	SJ	18	4.71	249	0.825	3.1
2009	Seca	BS1	21	10	SJ	19	3.13	229	0.838	4.2
2009	Seca	BS1	22	10	SJ	14	2.82	200	0.865	3.4
2009	Seca	BS1	23	10	SJ	12	3.93	202	0.799	3.4
2009	Seca	BS1	24	10	SJ	10	3.54	222	0.817	3
2009	Seca	BS1	25	10	SJ	10	4.17	184	0.8	2.4
2009	Seca	BS1	26	10	SJ	20	3.85	168	0.8	3
2009	Seca	BS1	27	10	SJ	17	3.94	191	0.786	3
2009	Seca	BS1	28	10	SJ	17	3.48	176	0.799	3
2009	Seca	BS1	29	10	SJ	16	3.56	166	0.797	3.5
2009	Seca	BS1	30	10	SJ	12	3.3	164	0.793	3.9
2009	Lluviosa	BS1	1	10	SJ	20	4.31	173	0.794	3.4
2009	Lluviosa	BS1	2	10	SJ	19	5.12	174	0.833	3.9
2009	Lluviosa	BS1	3	10	SJ	20	4.86	244	0.769	2.6
2009	Lluviosa	BS1	4	10	SJ	16	3.22	170	0.803	4
2009	Lluviosa	BS1	5	10	SJ	10	3.62	208	0.801	3.4
2009	Lluviosa	BS1	6	10	SJ	13	4.19	207	0.813	3.3
2009	Lluviosa	BS1	7	10	SJ	20	3.03	177	0.806	2.7
2009	Lluviosa	BS1	8	10	SJ	17	4.78	236	0.783	3.5
2009	Lluviosa	BS1	9	10	SJ	20	4.28	212	0.766	2.8
2009	Lluviosa	BS1	10	10	SJ	10	4.07	200	0.744	3.8
2009	Lluviosa	BS1	11	10	SJ	15	4.39	190	0.787	3.6
2009	Lluviosa	BS1	12	10	SJ	15	4.02	227	0.762	3.5
2009	Lluviosa	BS1	13	10	SJ	20	2.92	195	0.784	3.4
2009	Lluviosa	BS1	14	10	SJ	12	3.84	206	0.816	2.9
2009	Lluviosa	BS1	15	10	SJ	10	4.9	183	0.85	3.9
2009	Lluviosa	BS1	16	10	SJ	13	3.43	209	0.838	4.3
2009	Lluviosa	BS1	17	10	SJ	15	3.3	184	0.809	2.8
2009	Lluviosa	BS1	18	10	SJ	20	3.09	211	0.837	3.3
2009	Lluviosa	BS1	19	10	SJ	20	3.22	213	0.796	3.7
2009	Lluviosa	BS1	20	10	SJ	19	4.04	228	0.812	2.7
2009	Lluviosa	BS1	21	10	SJ	19	3.8	206	0.786	3.7
2009	Lluviosa	BS1	22	10	SJ	15	3.96	147	0.815	3.2
2009	Lluviosa	BS1	23	10	SJ	11	3.89	186	0.806	3.6
2009	Lluviosa	BS1	24	10	SJ	15	3.92	197	0.795	4.3
2009	Lluviosa	BS1	25	10	SJ	12	4.69	179	0.811	3.1
2009	Lluviosa	BS1	26	10	SJ	16	3.58	180	0.804	4
2009	Lluviosa	BS1	27	10	SJ	18	4.28	195	0.786	2.5
2009	Lluviosa	BS1	28	10	SJ	20	4.39	240	0.765	3.7
2009	Lluviosa	BS1	29	10	SJ	18	4.58	164	0.827	3
2009	Lluviosa	BS1	30	10	SJ	19	4.62	182	0.818	4
2009	Seca	BS1	1	10	VB	6	4.13	139	0.795	2.7
2009	Seca	BS1	2	10	VB	6	3.3	156	0.759	4
2009	Seca	BS1	3	10	VB	7	3.51	188	0.795	3.8
2009	Seca	BS1	4	10	VB	7	3.87	239	0.802	3.3
2009	Seca	BS1	5	10	VB	9	4.3	216	0.788	3.4
2009	Seca	BS1	6	10	VB	5	3.93	198	0.786	3.7
2009	Seca	BS1	7	10	VB	9	3.8	186	0.822	3.3
2009	Seca	BS1	8	10	VB	9	2.86	235	0.811	3.3
2009	Seca	BS1	9	10	VB	7	3.36	197	0.827	3.7
2009	Seca	BS1	10	10	VB	6	3.27	171	0.798	3.2
2009	Seca	BS1	11	10	VB	9	3.85	251	0.818	3
2009	Seca	BS1	12	10	VB	7	2.27	180	0.767	2.5
2009	Seca	BS1	13	10	VB	5	3.13	186	0.806	4
2009	Seca	BS1	14	10	VB	8	3.12	156	0.833	3.8
2009	Seca	BS1	15	10	VB	9	3.65	225	0.8	3.4
2009	Seca	BS1	16	10	VB	6	3.9	171	0.788	3.3
2009	Seca	BS1	17	10	VB	5	4.33	179	0.801	3.1
2009	Seca	BS1	18	10	VB	8	2.89	214	0.749	4
2009	Seca	BS1	19	10	VB	8	3.66	179	0.787	3.3
2009	Seca	BS1	20	10	VB	9	3.84	135	0.814	3.3
2009	Seca	BS1	21	10	VB	10	3.62	161	0.781	3.7
2009	Seca	BS1	22	10	VB	7	2.91	235	0.749	3.1
2009	Seca	BS1	23	10	VB	6	3.34	190	0.779	4.2
2009	Seca	BS1	24	10	VB	5	2.97	184	0.786	3.1
2009	Seca	BS1	25	10	VB	5	2.32	168	0.846	2.9
2009	Seca	BS1	26	10	VB	10	3.79	169	0.787	3.7
2009	Seca	BS1	27	10	VB	9	3.08	184	0.824	4.4
2009	Seca	BS1	28	10	VB	9	3.37	155	0.776	3.6
2009	Seca	BS1	29	10	VB	8	3.97	195	0.823	3.1
2009	Seca	BS1	30	10	VB	6	3.5	245	0.808	2.8
2009	Lluviosa	BS1	1	10	VB	10	3.4	221	0.785	3.6
2009	Lluviosa	BS1	2	10	VB	10	3.4	216	0.771	3.4
2009	Lluviosa	BS1	3	10	VB	10	4.13	204	0.805	3.5
2009	Lluviosa	BS1	4	10	VB	8	4.74	228	0.807	3.2
2009	Lluviosa	BS1	5	10	VB	5	4.12	197	0.846	2.8
2009	Lluviosa	BS1	6	10	VB	7	4.56	146	0.801	4.5
2009	Lluviosa	BS1	7	10	VB	10	3.9	231	0.791	3.6
2009	Lluviosa	BS1	8	10	VB	9	4.22	218	0.808	3.1
2009	Lluviosa	BS1	9	10	VB	10	3.75	206	0.803	3.7
2009	Lluviosa	BS1	10	10	VB	5	3.59	234	0.836	3.3
2009	Lluviosa	BS1	11	10	VB	8	4.48	192	0.833	3.4
2009	Lluviosa	BS1	12	10	VB	8	3.22	175	0.806	3.3
2009	Lluviosa	BS1	13	10	VB	10	4.44	200	0.794	2.9
2009	Lluviosa	BS1	14	10	VB	6	4.62	203	0.801	3.5
2009	Lluviosa	BS1	15	10	VB	5	4.12	147	0.8	3.1
2009	Lluviosa	BS1	16	10	VB	7	4.19	200	0.829	2.9
2009	Lluviosa	BS1	17	10	VB	8	4.05	220	0.812	3
2009	Lluviosa	BS1	18	10	VB	10	4.16	199	0.777	3.3
2009	Lluviosa	BS1	19	10	VB	10	3.8	211	0.797	3.3
2009	Lluviosa	BS1	20	10	VB	10	4.47	180	0.765	3.5
2009	Lluviosa	BS1	21	10	VB	10	3.41	213	0.803	2.9
2009	Lluviosa	BS1	22	10	VB	8	3.63	155	0.772	2.9
2009	Lluviosa	BS1	23	10	VB	6	4.77	180	0.788	3.6
2009	Lluviosa	BS1	24	10	VB	8	3.9	147	0.836	3.2
2009	Lluviosa	BS1	25	10	VB	6	3.52	218	0.808	3
2009	Lluviosa	BS1	26	10	VB	8	4.64	211	0.818	3.4
2009	Lluviosa	BS1	27	10	VB	9	4.05	176	0.791	4.1
2009	Lluviosa	BS1	28	10	VB	10	4.9	188	0.769	3.8
2009	Lluviosa	BS1	29	10	VB	9	3.26	220	0.774	2.9
2009	Lluviosa	BS1	30	10	VB	10	3.33	156	0.797	4
2009	Seca	BS1	1	10	MD	3	3.84	231	0.8	3.7
2009	Seca	BS1	2	10	MD	3	3.26	201	0.833	2.7
2009	Seca	BS1	3	10	MD	4	3.84	172	0.797	2.6
2009	Seca	BS1	4	10	MD	4	3.46	185	0.787	3.6
2009	Seca	BS1	5	10	MD	4	3.64	187	0.81	3.2
2009	Seca	BS1	6	10	MD	3	2.98	158	0.793	3
