Temp_20	Temp_25	Temp_30	Temp_35	Temp_40	Biomass
7.4043	5.9645	6.2370	11.3624	11.7260	63.9500
4.1609	3.4386	5.8630	10.9309	12.4740	67.8200
4.7046	8.1716	5.8630	9.9091	12.4740	60.6100
6.5112	5.0089	5.5000	12.6602	13.2000	28.6200
4.8512	5.7556	5.8630	11.6195	13.2000	60.7900
4.3853	5.5499	5.8630	11.5274	13.2000	52.6300
5.2201	6.3782	6.2370	12.5787	12.4740	46.3800
4.2630	7.3933	6.2370	11.5440	12.4740	NA
4.4528	6.7347	5.8630	11.3756	13.2000	40.3600
3.7466	7.0424	6.2370	13.6281	12.4740	44.5800
6.6748	7.1494	6.2370	14.1835	12.4740	49.3000
4.6764	6.0476	6.6000	13.8232	11.7260	46.2600
6.8702	3.4109	6.2370	11.5858	13.2000	45.5500
5.9603	9.2048	5.8630	10.8836	12.4740	NA
5.1654	6.3423	6.2370	13.1315	12.4740	54.8400
6.8984	5.9334	6.2370	12.2999	13.2000	48.9100
7.7347	4.5346	6.6000	10.6027	12.4740	59.1600
5.8067	4.9894	5.8630	12.3576	11.7260	57.5700
5.4382	5.1014	5.8630	10.2956	12.4740	NA
4.3301	5.6115	6.6000	11.7744	12.4740	57.2100
5.8139	4.5638	6.6000	14.2132	12.4740	42.4400
8.6946	5.6878	6.2370	13.6620	12.4740	64.8700
5.3141	6.4740	6.2370	12.1360	13.2000	62.8800
3.9732	5.2465	6.2370	10.5645	12.4740	45.5800
6.9023	6.1609	6.2370	10.1183	13.2000	47.9200
4.6893	4.4717	5.8630	11.9257	13.2000	47.9600
6.2774	6.6584	6.2370	13.3718	12.4740	71.6900
5.7086	6.4344	5.8630	13.6560	13.2000	NA
4.8045	6.3890	6.2370	11.4876	13.2000	58.2400
4.1252	5.7421	6.6000	11.1524	12.4740	NA
8.9052	6.0364	6.2370	14.0388	12.4740	NA
2.2682	5.7871	6.6000	12.9302	12.4740	34.7900
