Estres	acido_jasmonico	acido_linolenico	peso_plantas	altura_plantas	almidon
1	37	27.81624204	62.81624204	153.5487261	2.393312102
1	27	31.84713376	71.84713376	175.5414013	2.792356688
1	23	22.29299363	50.29299363	122.8789809	1.954649682
1	32	25.47770701	57.47770701	140.433121	2.23388535
1	21	20.70063694	46.70063694	114.1019108	1.815031847
1	22	16.76974522	37.76974522	92.20923567	1.515987261
1	28	17.51592357	39.51592357	96.5477707	1.535796178
1	29	27.81624204	62.81624204	153.5487261	2.393312102
1	38	16.71974522	37.71974522	92.15923567	1.465987261
1	25	26.27388535	59.27388535	144.8216561	2.303694268
1	23	15.92356688	35.92356688	87.77070064	1.396178344
1	32	23.03917197	52.03917197	127.2175159	1.974458599
1	31	29.45859873	66.45859873	162.3757962	2.582929936
1	25	22.34299363	50.34299363	122.9289809	2.004649682
1	37	23.83535032	53.83535032	131.606051	2.044267516
1	23	23.08917197	52.08917197	127.2675159	2.393312102
1	37	30.25477707	68.25477707	166.7643312	2.792356688
1	25	22.24299363	50.24299363	122.8289809	1.954649682
1	36	31.05095541	70.05095541	171.1528662	2.23388535
1	38	18.31210191	41.31210191	100.9363057	1.815031847
1	24	23.83535032	53.83535032	131.606051	1.515987261
1	33	27.07006369	61.07006369	149.2101911	1.535796178
1	33	17.51592357	39.51592357	96.5477707	2.393312102
1	30	26.22388535	59.22388535	144.7716561	1.465987261
1	25	25.52770701	57.52770701	140.483121	2.303694268
1	27	28.66242038	64.66242038	157.9872611	1.396178344
1	31	21.49681529	48.49681529	118.4904459	1.974458599
1	35	16.66974522	37.66974522	92.10923567	2.582929936
1	35	24.73152866	55.73152866	136.094586	2.004649682
1	31	31.00095541	70.00095541	171.1028662	2.044267516
2	47	35.82802548	80.82802548	197.4840764	2.602738854
2	37	39.8089172	89.8089172	219.4267516	2.881974522
2	33	30.20477707	68.20477707	166.7143312	2.513121019
2	42	33.38949045	75.38949045	184.2684713	2.214076433
2	31	28.66242038	64.66242038	157.9872611	2.23388535
2	32	24.73152866	55.73152866	136.094586	3.141401274
2	38	25.47770701	57.47770701	140.433121	2.164076433
2	39	35.82802548	80.82802548	197.4840764	3.001783439
2	48	24.68152866	55.68152866	136.044586	2.144267516
2	35	34.23566879	77.23566879	188.7070064	2.722547771
2	33	23.93535032	53.93535032	131.706051	3.231019108
2	42	31.05095541	70.05095541	171.1528662	2.602738854
2	41	37.37038217	84.37038217	206.2111465	2.742356688
2	35	30.20477707	68.20477707	166.7143312	2.722547771
2	47	31.79713376	71.79713376	175.4914013	3.001783439
2	33	31.05095541	70.05095541	171.1528662	2.931974522
2	47	38.21656051	86.21656051	210.6496815	3.211210191
2	35	30.25477707	68.25477707	166.7643312	2.632929936
2	46	39.01273885	88.01273885	215.0382166	2.164076433
2	48	26.27388535	59.27388535	144.8216561	2.912165605
2	34	31.89713376	71.89713376	175.5914013	3.470636943
2	43	35.03184713	79.03184713	193.0955414	3.789490446
2	43	25.47770701	57.47770701	140.433121	4.188535032
2	40	34.23566879	77.23566879	188.7070064	3.350828025
2	35	33.43949045	75.43949045	184.3184713	3.630063694
2	37	36.62420382	82.62420382	201.8726115	3.211210191
2	41	29.50859873	66.50859873	162.4257962	2.862165605
2	45	24.68152866	55.68152866	136.044586	2.931974522
2	45	32.6933121	73.6933121	179.9799363	4.168726115
2	41	39.06273885	88.06273885	215.0882166	3.001783439
3	57	43.73980892	98.73980892	241.3194268	3.44044586
3	47	47.77070064	107.7707006	263.3121019	3.719681529
3	43	38.21656051	86.21656051	210.6496815	2.931974522
3	52	41.40127389	93.40127389	228.2038217	3.649872611
3	41	36.62420382	82.62420382	201.8726115	3.580063694
3	42	32.6433121	73.6433121	179.9299363	1.415987261
3	48	33.43949045	75.43949045	184.3184713	2.214076433
3	49	43.78980892	98.78980892	241.3694268	2.672547771
3	58	32.6433121	73.6433121	179.9299363	3.141401274
3	45	42.24745223	95.24745223	232.6423567	3.49044586
3	43	31.84713376	71.84713376	175.5414013	2.602738854
3	52	39.01273885	88.01273885	215.0382166	2.881974522
3	51	45.33216561	102.3321656	250.0964968	2.513121019
3	45	38.21656051	86.21656051	210.6496815	2.214076433
3	57	39.8089172	89.8089172	219.4267516	1.815031847
3	43	39.06273885	88.06273885	215.0882166	1.515987261
3	57	46.17834395	104.1783439	254.5350318	1.535796178
3	45	38.21656051	86.21656051	210.6496815	2.393312102
3	56	47.02452229	106.0245223	258.9735669	1.465987261
3	58	34.23566879	77.23566879	188.7070064	2.303694268
3	44	39.7589172	89.7589172	219.3767516	1.815031847
3	53	42.94363057	96.94363057	236.9308917	1.515987261
3	53	33.43949045	75.43949045	184.3184713	1.535796178
3	50	42.14745223	95.14745223	232.5423567	2.393312102
3	45	41.35127389	93.35127389	228.1538217	1.465987261
3	47	44.53598726	100.5359873	245.7079618	2.303694268
3	51	37.42038217	84.42038217	206.2611465	1.815031847
3	55	32.6933121	73.6933121	179.9799363	1.515987261
3	55	40.60509554	91.60509554	223.8152866	1.535796178
3	51	46.97452229	105.9745223	258.9235669	2.393312102
