tratamiento	A	gs	WUEi	proteina	almidon	ACC	AIA
organico	12.68	0.097	0.131	84.438	25.727	198.187	0.986
organico	12.67	0.103	0.123	86.74	24.413	245.527	1.633
organico	12.36	0.1	0.124	84.572	23.803	239.388	1.592
organico	12.36	0.094	0.131	82.327	25.083	193.233	0.962
organico	12.04	0.098	0.123	82.403	23.193	233.25	1.551
organico	12.04	0.092	0.131	80.216	24.44	188.278	0.937
organico	11.62	0.12	0.097	56.9	15.2	45.586	1.184
organico	11.41	0.115	0.099	127.071	25.646	202.215	0.411
organico	11.33	0.117	0.097	55.477	14.82	44.446	1.154
organico	11.23	0.108	0.104	127.681	25.815	180.127	0.986
organico	11.04	0.114	0.097	54.055	14.44	43.306	1.125
organico	10.95	0.106	0.103	124.489	25.17	175.624	0.962
organico	10.84	0.109	0.099	120.717	24.364	192.105	0.4
organico	10.7	0.1	0.107	97.8	16.7	18.439	2.753
organico	10.67	0.103	0.104	121.297	24.524	171.121	0.937
organico	10.43	0.098	0.106	95.355	16.282	17.978	2.684
organico	10.16	0.095	0.107	92.91	15.865	17.517	2.615
organico	10.14	0.11	0.092	69.5	16	172.23	0.916
organico	10.09	0.1	0.101	66.6	15.3	163.228	2.475
organico	9.89	0.107	0.092	67.763	15.6	167.924	0.893
organico	9.84	0.098	0.1	64.935	14.918	159.147	2.413
organico	9.63	0.104	0.093	66.025	15.2	163.618	0.87
NPK	9.59	0.095	0.101	63.27	14.535	155.066	2.351
NPK	9.51	0.09	0.106	83.9	16.7	163.405	3.16
NPK	9.27	0.088	0.105	81.802	16.282	159.32	3.081
NPK	9.03	0.086	0.105	79.705	15.865	155.234	3.002
NPK	8.37	0.113	0.074	82.049	18.404	210.278	1.75
NPK	8.16	0.11	0.074	79.998	17.944	205.021	1.707
NPK	8.1	0.086	0.094	86.088	25.852	260.597	1.971
NPK	7.95	0.107	0.074	77.947	17.484	199.764	1.663
NPK	7.94	0.078	0.102	99.1	24.276	325.107	3.163
NPK	7.89	0.084	0.094	83.935	25.206	254.082	1.922
NPK	7.74	0.076	0.102	96.622	23.67	316.979	3.084
NPK	7.69	0.082	0.094	81.783	24.56	247.567	1.873
NPK	7.55	0.074	0.102	94.145	23.063	308.851	3.005
NPK	7.43	0.1	0.074	95.6	15.3	106.593	1.431
NPK	7.24	0.098	0.074	93.21	14.918	103.928	1.395
NPK	7.17	0.07	0.102	95.2	35.2	178.789	2.725
NPK	7.06	0.095	0.074	90.82	14.535	101.263	1.359
NPK	6.99	0.068	0.103	92.82	34.32	174.32	2.657
NPK	6.81	0.067	0.102	90.44	33.44	169.85	2.589
NPK	6.54	0.078	0.084	96.192	25.935	191.183	1.471
NPK	6.44	0.08	0.081	50.8	13.4	91.589	1.204
control	6.38	0.076	0.084	93.787	25.287	186.404	1.434
control	6.28	0.078	0.081	49.53	13.065	89.299	1.174
control	6.22	0.074	0.084	91.382	24.638	181.624	1.397
control	6.12	0.076	0.081	48.26	12.73	87.01	1.143
control	6.1	0.057	0.107	101.965	25.305	243.672	1.095
control	5.97	0.056	0.107	87.119	26.116	141.892	3.534
control	5.95	0.055	0.108	99.415	24.672	237.58	1.068
control	5.91	0.05	0.118	102.4	32.9	186.319	2.063
control	5.82	0.055	0.106	84.941	25.463	138.344	3.445
control	5.79	0.054	0.107	96.866	24.04	231.489	1.04
control	5.76	0.049	0.118	99.84	32.078	181.661	2.011
control	5.67	0.054	0.105	82.763	24.81	134.797	3.357
control	5.61	0.048	0.117	97.28	31.255	177.003	1.96
control	3.32	0.04	0.083	59.9	33.7	167.98	1.753
control	3.24	0.039	0.083	58.403	32.858	163.78	1.709
control	3.15	0.038	0.083	56.905	32.015	159.581	1.665
control	2.64	0.02	0.132	76	33	148.193	0.983
control	2.57	0.02	0.129	74.1	32.175	144.488	0.958
control	2.51	0.019	0.132	72.2	31.35	140.784	0.934
