Tratamiento_1;Tratamiento_2;n.hojas;altura.cm;Fv.Fm;raiz.total;tallo.total;hojas.total;raiz.hojas;Chl_b.µg.mL;Chl_b.mg.g;Chl_a.µg.mL;Chl_a.mg.g;acetona.mL;masa.hoja.mg
C;Alta;11;22.4;0.812;;;;;3.478;0.0098;2.1958;0.0062;1.5;533.8
C;Alta;11;23;0.829;0.2225;0.246;0.5315;0.4186;;;;;;
C;Alta;9;23;0.813;0.2234;0.215;0.5616;0.3977;;;;;;
C;Alta;10;19.5;0.823;0.2758;0.1843;0.5399;0.5108;;;;;;
C;Alta;9;16;0.829;0.2627;0.2163;0.521;0.5042;;;;;;
C;Alta;10;16.9;0.801;0.2561;0.1825;0.5613;0.4563;;;;;;
C;Alta;12;21.2;0.812;0.3038;0.1795;0.5167;0.5879;;;;;;
C;Alta;9;15.5;0.823;0.2471;0.1729;0.58;0.426;;;;;;
C;Alta;12;20.5;0.816;0.2579;0.1924;0.5497;0.4691;;;;;;
C;Alta;10;17.5;0.811;0.2678;0.1976;0.5346;0.501;;;;;;
C;Alta;11;24.6;0.814;0.2231;0.245;0.5319;0.4194;;;;;;
C;Alta;11;25;0.813;0.2712;0.2534;0.4753;0.5706;;;;;;
C;Alta;15;24;0.803;;;;;1.8422;0.0066;1.1928;0.0043;3;838.4
C;Alta;11;16;0.795;0.2761;0.1772;0.5466;0.5051;;;;;;
C;Alta;10;21.1;0.772;;;;;1.4295;0.0037;0.9512;0.0024;2.5;978.7
C;Alta;10;16.6;0.812;0.3008;0.1762;0.5229;0.5753;;;;;;
C;Alta;10;17.5;0.81;0.2668;0.2039;0.5293;0.5039;;;;;;
C;Alta;12;26.7;0.822;0.1636;0.1938;0.6425;0.2547;;;;;;
C;Alta;14;22;0.818;;;;;2.8237;0.0105;1.8038;0.0067;3;805.7
C;Alta;10;26;0.813;;;;;2.1241;0.0606;1.3836;0.0395;3;105.2
C;Baja;15;17;0.805;;;;;1.8321;0.0066;1.1712;0.0042;2;552.4
C;Baja;7;11;0.788;0.2632;0.1709;0.5659;0.4651;;;;;;
C;Baja;10;18;0.796;;;;;1.7063;0.0063;1.1082;0.0041;2;540.1
C;Baja;9;15;0.797;0.2214;0.1733;0.6054;0.3657;;;;;;
C;Baja;8;18.4;0.797;0.2061;0.2164;0.5775;0.3569;;;;;;
C;Baja;12;11.5;0.812;0.2637;0.1975;0.5389;0.4893;;;;;;
C;Baja;8;18;0.796;0.1931;0.2368;0.5701;0.3388;;;;;;
C;Baja;7;14.2;0.811;0.19;0.1618;0.6482;0.2932;;;;;;
C;Baja;7;13;0.769;0.233;0.17;0.597;0.3903;;;;;;
C;Baja;13;15.3;0.814;0.2591;0.1899;0.551;0.4702;;;;;;
C;Baja;12;25.2;0.794;;;;;1.807;0.0097;1.1862;0.0063;2;373.8
C;Baja;7;8.8;0.813;0.2872;0.1334;0.5794;0.4956;;;;;;
C;Baja;8;15.7;0.81;0.2524;0.1961;0.5515;0.4576;;;;;;
C;Baja;8;15.7;0.782;0.2306;0.1924;0.5771;0.3996;;;;;;
C;Baja;10;14.1;0.811;;;;;1.4899;0.0034;0.9428;0.0021;1.5;662.4
C;Baja;9;10.3;0.802;0.2297;0.1475;0.6228;0.3688;;;;;;
C;Baja;10;20.1;0.818;0.2008;0.2143;0.5849;0.3433;;;;;;
C;Baja;8;15.7;0.817;0.2235;0.1982;0.5783;0.3864;;;;;;
C;Baja;9;20.5;0.809;;;;;1.4446;0.0092;0.9606;0.0061;3;472
C;Baja;11;17.4;0.814;0.229;0.2149;0.5561;0.4117;;;;;;
(-) N;Alta;5;5.4;0.658;0.4403;0.1638;0.396;1.112;;;;;;
(-) N;Alta;5;3.9;0.244;;;;;1.7969;0.0104;1.1186;0.0065;3;519.4
(-) N;Alta;5;4.8;0.715;0.4579;0.1535;0.3886;1.1785;;;;;;
(-) N;Alta;6;6;0.393;0.4422;0.1557;0.402;1.1;;;;;;
(-) N;Alta;5;5.5;0.185;;;;;1.6057;0.0071;1.0763;0.0048;2;453.1
(-) N;Alta;5;7.2;0.686;0.3706;0.2194;0.41;0.9038;;;;;;
(-) N;Alta;4;7;0.484;0.4032;0.1978;0.399;1.0106;;;;;;
(-) N;Alta;5;4.5;0.299;0.4891;0.1104;0.4005;1.2212;;;;;;
(-) N;Alta;5;6.1;0.206;0.4188;0.1611;0.4201;0.9968;;;;;;
(-) N;Alta;4;4.7;0.409;0.4556;0.222;0.3224;1.4128;;;;;;
(-) N;Alta;4;5.5;0.745;0.4776;0.1412;0.3812;1.2527;;;;;;
(-) N;Alta;5;5.9;0.243;0.4385;0.161;0.4005;1.0951;;;;;;
(-) N;Alta;5;9.7;0.77;0.3708;0.2828;0.3464;1.0705;;;;;;
(-) N;Alta;4;5.5;0.693;0.468;0.1991;0.3329;1.4059;;;;;;
(-) N;Alta;5;6.7;0.762;0.4717;0.182;0.3463;1.3618;;;;;;
(-) N;Alta;6;9;0.663;0.4635;0.2287;0.3078;1.5061;;;;;;
(-) N;Alta;6;6.8;0.63;;;;;1.4295;0.0076;0.9512;0.0051;3.5;655.1
(-) N;Alta;5;5.2;0.685;;;;;1.7466;0.0141;1.1486;0.0093;4;493.8
(-) N;Alta;6;5.4;0.663;0.4668;0.1343;0.3989;1.1702;;;;;;
