;Tratamiento;c.hojas
1;0%;4
2;0%;2
3;0%;4
4;0%;0
5;0%;5
6;0%;0
7;0%;5
8;0%;6
9;0%;2
10;0%;1
11;0%;0
12;0%;2
13;0%;7
14;0%;5
15;25%;4
16;25%;6
17;25%;0
18;25%;1
19;25%;6
20;25%;4
21;25%;1
22;25%;0
23;25%;3
24;25%;5
25;25%;4
26;25%;0
27;25%;4
28;25%;6
29;50%;7
30;50%;5
31;50%;6
32;50%;7
33;50%;5
34;50%;1
35;50%;6
36;50%;7
37;50%;7
38;50%;7
39;50%;4
40;50%;7
41;50%;4
42;50%;0
43;75%;4
44;75%;5
45;75%;3
46;75%;0
47;75%;4
48;75%;3
49;75%;2
50;75%;2
51;75%;4
52;75%;0
53;75%;5
54;75%;3
55;75%;4
56;75%;3
57;100%;1
58;100%;0
59;100%;1
60;100%;0
61;100%;1
62;100%;1
63;100%;3
64;100%;1
65;100%;3
66;100%;0
67;100%;0
68;100%;1
69;100%;2
70;100%;4
