luz	nitrogeno	TDM
Baja	N-	0.537
Baja	N-	0.362
Baja	N-	0.353
Baja	N-	0.345
Baja	N-	0.342
Baja	N-	0.342
Baja	N-	0.336
Baja	N-	0.328
Baja	N-	0.31
Baja	N-	0.31
Baja	N-	0.284
Baja	N-	0.229
Baja	N-	0.219
Baja	N+	1.008
Baja	N+	0.702
Baja	N+	0.669
Baja	N+	0.638
Baja	N+	0.574
Baja	N+	0.552
Baja	N+	0.544
Baja	N+	0.542
Baja	N+	0.536
Baja	N+	0.534
Baja	N+	0.439
Baja	N+	0.435
Baja	N+	0.433
Baja	N+	0.408
Baja	N+	0.295
Alta	N-	0.827
Alta	N-	0.609
Alta	N-	0.609
Alta	N-	0.529
Alta	N-	0.52
Alta	N-	0.508
Alta	N-	0.465
Alta	N-	0.451
Alta	N-	0.45
Alta	N-	0.445
Alta	N-	0.44
Alta	N-	0.402
Alta	N-	0.367
Alta	N-	0.295
Alta	N-	0.208
Alta	N+	2.102
Alta	N+	1.898
Alta	N+	1.896
Alta	N+	1.88
Alta	N+	1.823
Alta	N+	1.804
Alta	N+	1.798
Alta	N+	1.702
Alta	N+	1.658
Alta	N+	1.579
Alta	N+	1.533
Alta	N+	1.491
Alta	N+	1.421
Alta	N+	1.335
Alta	N+	1.175
