Nutriente	RHT	RRT
Control	0.37254902	0.352941176
N	0.49009901	0.257425743
P	0.491166078	0.265017668
NP	0.409448819	0.275590551
Control	0.325581395	0.418604651
N	0.504347826	0.226086957
P	0.383233533	0.269461078
NP	0.4375	0.305555556
Control	0.341772152	0.389240506
N	0.491289199	0.264808362
P	0.433789954	0.342465753
NP	0.334328358	0.450746269
Control	0.597285068	0.190045249
N	0.365591398	0.306451613
P	0.484375	0.28125
NP	0.487288136	0.254237288
Control	0.498886414	0.271714922
N	0.528265107	0.278752437
P	0.503676471	0.294117647
NP	0.496	0.292
Control	0.31797235	0.368663594
N	0.517915309	0.280130293
P	0.544554455	0.245049505
NP	0.410094637	0.261829653
Control	0.56744186	0.237209302
N	0.43255814	0.274418605
P	0.478787879	0.26969697
NP	0.328719723	0.3183391
Control	0.464071856	0.260479042
N	0.374468085	0.387234043
P	0.490039841	0.290836653
NP	0.428093645	0.357859532
Control	0.392361111	0.385416667
N	0.427083333	0.277777778
P	0.439189189	0.341216216
NP	0.507109005	0.161137441
Control	0.545454545	0.177489177
N	0.480122324	0.26911315
P	0.474358974	0.237179487
NP	0.259259259	0.411111111
Control	0.476190476	0.228571429
N	0.407407407	0.283950617
P	0.44973545	0.277777778
NP	0.56545961	0.183844011
Control	0.252873563	0.559386973
N	0.543478261	0.213043478
P	0.493887531	0.28606357
NP	0.466666667	0.26
Control	0.57480315	0.157480315
N	0.607594937	0.256329114
P	0.518324607	0.261780105
NP	0.570689655	0.224137931
Control	0.424390244	0.268292683
N	0.584459459	0.165540541
P	0.563517915	0.254071661
NP	0.605072464	0.235507246
Control	0.570588235	0.2
N	0.401805869	0.383747178
P	0.517482517	0.249417249
NP	0.472440945	0.244094488
Control	0.54109589	0.200913242
N	0.540740741	0.214814815
P	0.550898204	0.134730539
NP	0.440881764	0.29258517
