agua	repeticion	temperatura	resistencia
50	1	15	55.78
50	2	15	59.51
50	3	15	61.64
75	1	20	59.56
75	2	20	64.89
75	3	20	58.64
100	1	25	67.53
100	2	25	72.77
100	3	25	66.93
50	1	30	57
50	2	30	60.16
50	3	30	63.87
75	1	15	65.26
75	2	15	58.19
75	3	15	59.96
100	1	20	64.71
100	2	20	62.81
100	3	20	62.03
50	1	25	53.69
50	2	25	61.87
50	3	25	54.5
75	1	30	70.96
75	2	30	62.85
75	3	30	64.11
100	1	15	64.4
100	2	15	60.51
100	3	15	62.41
50	1	20	56.3
50	2	20	56.79
50	3	20	51.96
75	1	25	63.37
75	2	25	62.55
75	3	25	61.81
100	1	30	72.59
100	2	30	73.79
100	3	30	74.55
