Blo	Lab	Var	Fer	Rendimiento
1	Cero	v1	A	36
1	Cero	v1	B	36
1	Cero	v1	C	41
1	Cero	v1	D	38
1	Cero	v2	A	38
1	Cero	v2	B	38
1	Cero	v2	C	42
1	Cero	v2	D	42
1	Cero	v3	A	34
1	Cero	v3	B	34
1	Cero	v3	C	39
1	Cero	v3	D	40
1	Convencional	v1	A	31
1	Convencional	v1	B	29
1	Convencional	v1	C	34
1	Convencional	v1	D	35
1	Convencional	v2	A	35
1	Convencional	v2	B	33
1	Convencional	v2	C	38
1	Convencional	v2	D	39
1	Convencional	v3	A	31
1	Convencional	v3	B	29
1	Convencional	v3	C	35
1	Convencional	v3	D	35
1	Mínima	v1	A	32
1	Mínima	v1	B	32
1	Mínima	v1	C	37
1	Mínima	v1	D	37
1	Mínima	v2	A	35
1	Mínima	v2	B	35
1	Mínima	v2	C	39
1	Mínima	v2	D	39
1	Mínima	v3	A	30
1	Mínima	v3	B	32
1	Mínima	v3	C	34
1	Mínima	v3	D	33
2	Cero	v1	A	39
2	Cero	v1	B	39
2	Cero	v1	C	43
2	Cero	v1	D	42
2	Cero	v2	A	41
2	Cero	v2	B	42
2	Cero	v2	C	46
2	Cero	v2	D	47
2	Cero	v3	A	39
2	Cero	v3	B	37
2	Cero	v3	C	44
2	Cero	v3	D	41
2	Convencional	v1	A	34
2	Convencional	v1	B	33
2	Convencional	v1	C	38
2	Convencional	v1	D	37
2	Convencional	v2	A	37
2	Convencional	v2	B	38
2	Convencional	v2	C	41
2	Convencional	v2	D	40
2	Convencional	v3	A	31
2	Convencional	v3	B	34
2	Convencional	v3	C	36
2	Convencional	v3	D	37
2	Mínima	v1	A	36
2	Mínima	v1	B	36
2	Mínima	v1	C	38
2	Mínima	v1	D	40
2	Mínima	v2	A	39
2	Mínima	v2	B	39
2	Mínima	v2	C	41
2	Mínima	v2	D	41
2	Mínima	v3	A	34
2	Mínima	v3	B	34
2	Mínima	v3	C	38
2	Mínima	v3	D	38
3	Cero	v1	A	41
3	Cero	v1	B	43
3	Cero	v1	C	47
3	Cero	v1	D	48
3	Cero	v2	A	45
3	Cero	v2	B	45
3	Cero	v2	C	48
3	Cero	v2	D	48
3	Cero	v3	A	43
3	Cero	v3	B	41
3	Cero	v3	C	44
3	Cero	v3	D	45
3	Convencional	v1	A	36
3	Convencional	v1	B	37
3	Convencional	v1	C	39
3	Convencional	v1	D	41
3	Convencional	v2	A	40
3	Convencional	v2	B	40
3	Convencional	v2	C	43
3	Convencional	v2	D	44
3	Convencional	v3	A	33
3	Convencional	v3	B	35
3	Convencional	v3	C	40
3	Convencional	v3	D	40
3	Mínima	v1	A	37
3	Mínima	v1	B	39
3	Mínima	v1	C	42
3	Mínima	v1	D	40
3	Mínima	v2	A	43
3	Mínima	v2	B	42
3	Mínima	v2	C	44
3	Mínima	v2	D	45
3	Mínima	v3	A	36
3	Mínima	v3	B	37
3	Mínima	v3	C	40
3	Mínima	v3	D	40
