A;gs;WUE;Aminoacidos;Proteinas;Amido;Glicose;Frutose;Sacarose;Malato;Jasmonic_acid;Abisic_acid;Salicilic_acid;ACC;Zeatin;AIA;Espermina;Espermidina;Prolina;Putrescina
7.17;0.07;104.903;33.2;95.2;35.2;3.6;4.9;78.5;49.5;18.851;39.522;23.338;178.789;121.722;2.725;3635.38;1.933;18.629;1.035
7.23;0.1;73.329;23;;23.4;3.2;3.5;46.4;32.2;18.128;36.384;327.18;145.281;84.593;2.212;4682.979;2.053;19.061;2.083
4.98;0.05;107.926;;91.3;38.7;;3.4;94.3;40.4;24.646;34.405;37.569;113.237;120.853;3.052;5506.137;1.847;16.408;1.721
4.55;0.04;123.259;43.1;76.4;26.9;;3.3;66.9;74.3;5.293;22.951;61.904;251.355;94.568;2.815;4076.225;;13.54;1.527
5.91;0.05;108.606;41.1;102.4;32.9;3.1;5.7;110.9;76.8;4.799;15.239;138.593;186.319;109.232;2.063;4575.309;;23.607;1.301
4.91;0.06;78.518;36.8;70.8;26.7;3.1;7.1;89.5;;;;;;;;;;;
11.62;0.12;97.737;31.85;56.9;15.2;4.6;11.2;12.9;76.2;5.241;20.627;117.888;45.586;73.536;1.184;7495.074;;18.894;5.434
10.7;0.1;104.67;37.05;97.8;16.7;4.4;9.3;19.9;64.2;15.14;22.908;;18.439;122.078;2.753;4686.795;2.719;18.63;2.346
10.57;0.11;97.489;40.95;87.4;15.1;;25.7;27.1;96.8;7.858;22.886;56.575;62.805;80.559;2.084;5238.686;9.333;17.426;2.003
10.09;0.1;100.589;32.24;66.6;15.3;6.4;9.4;24;61.9;22.415;22.8;219.63;163.228;78.498;2.475;6391.968;1.483;34.118;2.144
10.14;0.11;95.547;36.01;69.5;16;5.4;22.4;31.6;74.9;6.742;17.297;122.789;172.23;121.102;0.916;5034.981;13.75;31.021;2.141
8.25;0.09;87.686;34.19;58.8;17.5;6.4;24.4;21.8;85.8;;;;;;;;;;
7.943;0.078;101.632;54.839;99.1;24.276;3.975;4.946;68.163;36.137;3.616;22.15;101.252;325.107;132.929;3.163;7057.273;3.839;20.468;1.115
8.097;0.086;94.251;42.152;86.088;25.852;4.873;3.479;62.94;38.161;2.143;10.346;79.193;260.597;116.896;1.971;5733.708;6.453;29.041;1.232
8.366;0.113;74.102;42.951;82.049;18.404;6.327;3.417;60.8;37.935;3.525;23.603;238.879;210.278;139.826;1.75;4095.039;3.857;17.647;0.669
