A	gs	WUE	Aminoacidos	Proteinas	Amido	Glicose	Frutose	Sacarose	Malato	Jasmonic_acid	Abisic_acid	Salicilic_acid	ACC	Zeatin	AIA	Espermina	Espermidina	Prolina	Putrescina
7.170	0.070	104.903	33.200	95.200	35.200	3.600	4.900	78.500	49.500	18.851	39.522	23.338	178.789	121.722	2.725	3635.380	1.933	18.629	1.035
7.230	0.100	73.329	23.000		23.400	3.200	3.500	46.400	32.200	18.128	36.384	327.180	145.281	84.593	2.212	4682.979	2.053	19.061	2.083
4.980	0.050	107.926		91.300	38.700		3.400	94.300	40.400	24.646	34.405	37.569	113.237	120.853	3.052	5506.137	1.847	16.408	1.721
4.550	0.040	123.259	43.100	76.400	26.900		3.300	66.900	74.300	5.293	22.951	61.904	251.355	94.568	2.815	4076.225		13.540	1.527
5.910	0.050	108.606	41.100	102.400	32.900	3.100	5.700	110.900	76.800	4.799	15.239	138.593	186.319	109.232	2.063	4575.309		23.607	1.301
4.910	0.060	78.518	36.800	70.800	26.700	3.100	7.100	89.500											
11.620	0.120	97.737	31.850	56.900	15.200	4.600	11.200	12.900	76.200	5.241	20.627	117.888	45.586	73.536	1.184	7495.074		18.894	5.434
10.700	0.100	104.670	37.050	97.800	16.700	4.400	9.300	19.900	64.200	15.140	22.908		18.439	122.078	2.753	4686.795	2.719	18.630	2.346
10.570	0.110	97.489	40.950	87.400	15.100		25.700	27.100	96.800	7.858	22.886	56.575	62.805	80.559	2.084	5238.686	9.333	17.426	2.003
10.090	0.100	100.589	32.240	66.600	15.300	6.400	9.400	24.000	61.900	22.415	22.800	219.630	163.228	78.498	2.475	6391.968	1.483	34.118	2.144
10.140	0.110	95.547	36.010	69.500	16.000	5.400	22.400	31.600	74.900	6.742	17.297	122.789	172.230	121.102	0.916	5034.981	13.750	31.021	2.141
8.250	0.090	87.686	34.190	58.800	17.500	6.400	24.400	21.800	85.800										
7.943	0.078	101.632	54.839	99.100	24.276	3.975	4.946	68.163	36.137	3.616	22.150	101.252	325.107	132.929	3.163	7057.273	3.839	20.468	1.115
8.097	0.086	94.251	42.152	86.088	25.852	4.873	3.479	62.940	38.161	2.143	10.346	79.193	260.597	116.896	1.971	5733.708	6.453	29.041	1.232
8.366	0.113	74.102	42.951	82.049	18.404	6.327	3.417	60.800	37.935	3.525	23.603	238.879	210.278	139.826	1.750	4095.039	3.857	17.647	0.669
12.672	0.103	123.461	47.579	86.740	24.413	4.337	3.285	67.282	32.114	9.045	24.940	242.415	245.527	100.517	1.633	4858.096	1.563	22.570	2.232
11.414	0.115	99.053	40.604	127.071	25.646	7.195	5.724	60.691	38.004	17.736	30.343	343.980	202.215	91.902	-0.211	4430.947	0.813	21.357	1.303
8.996	0.072	124.573	36.446	97.060	23.597	4.016	7.110	76.335	40.481										
1.330	0.010	96.605			31.100	3.500	5.600	81.400	47.200	28.702	36.568	123.781	231.172	96.000	2.963	5094.003	1.122	16.956	1.438
4.280	0.040	108.990	23.800	91.000	30.300	1.600	5.100	96.800	53.400	15.743	30.374	111.561	165.208	115.825	0.973	4638.882	2.466	17.897	1.178
5.020	0.040	113.579	46.700	72.400	26.700		7.700	67.500	45.800	18.480	47.732	304.321	160.190	104.836	2.991	3551.414	2.000	28.460	1.285
2.640	0.030	75.813	36.500	70.000	30.700			127.500	41.700	15.640	37.281	148.436	181.174	156.836	1.500	3831.939	2.443	26.814	1.121
3.280	0.040	90.312	33.600	74.600	37.000	1.800	4.300	103.700	53.500	15.143	26.990	319.914	317.644	123.794	3.000	3236.679	2.528	30.284	1.173
1.950	0.030	60.255		89.300	28.400	3.700	2.400	111.600	61.700										
8.430	0.070	117.278	13.130	98.300	20.300	3.200	12.200	20.200	86.200	6.316	14.197	169.305	92.812	72.399	1.644	5754.773	27.375	17.464	1.500
8.050	0.070	116.896		82.300	21.700	7.200	21.800	26.300	87.800	5.365	13.172	148.074	93.798	84.899	2.197	4569.769		24.881	1.471
7.200	0.080	91.797	40.170	64.600	18.900	4.200	18.100	21.000	63.200	7.967	25.616	332.740	166.290	143.625	1.475	9440.675		32.940	2.385
7.140	0.080	88.198	39.000	57.000	25.500		15.300	65.600	77.800	10.192	15.695		223.013	120.822	0.990	5516.032	5.425	29.598	1.886
8.550	0.080	108.070		57.900	17.200	5.200		22.200	84.500	7.026	9.978	38.149	119.282	111.893	2.111	6246.784	13.344	26.657	2.053
7.100	0.070	103.595	41.340	66.800	23.700	2.500	13.400	17.500	80.000										
5.931	0.052	113.521	56.604	83.220	22.792	8.084	5.611	41.138	36.946	10.177	27.674	161.617	216.973	108.607	2.844	3739.383	1.382	18.777	1.844
5.493	0.059	93.757	39.596	101.974	21.573	5.955	5.051	66.894	20.970	7.474	27.582	342.933	297.184	144.766	0.986	4020.288	1.951	30.903	1.027
4.680	0.051	91.007	74.450	98.216	24.021	16.545	7.701	85.329	58.512	5.321	21.540	138.040	375.527	206.250	1.741	4130.888	2.575	39.813	1.548
8.863	0.047	190.200	50.061	107.116	26.401	13.876	8.644	43.845	36.771	5.321	31.682	380.236	235.514	134.929	2.488	6095.202	3.857	21.477	3.855
8.593	0.054	159.711	45.077	101.801	26.863	7.348	4.271	67.002	23.143	12.873	43.260		79.542	111.952	1.371	8334.133	1.128	25.007	10.845
