Irrigacion	Desarrollo	FvFm
No	S1	0.721
No	S1	0.737
No	S1	0.764
No	S1	0.8
No	S1	0.637
No	S1	0.727
No	S1	0.741
No	S1	0.766
No	S1	0.709
No	S1	0.791
No	S1	0.721
No	S1	0.781
No	S1	0.758
No	S1	0.739
No	S1	0.763
No	S1	0.737
No	S1	0.746
No	S1	0.744
No	S1	0.745
No	S1	0.741
No	S2	0.243
No	S2	0.667
No	S2	0.701
No	S2	0.662
No	S2	0.327
No	S2	0.661
No	S2	0.676
No	S2	0.668
No	S2	0.54
No	S2	0.629
No	S2	0.665
No	S2	0.549
No	S2	0.709
No	S2	0.658
No	S2	0.719
No	S2	0.707
No	S2	0.683
No	S2	0.601
No	S2	0.685
No	S2	0.676
No	S3	0.475
No	S3	0.705
No	S3	0.669
No	S3	0.471
No	S3	0.716
No	S3	0.711
No	S3	0.214
No	S3	0.701
No	S3	0.737
No	S3	0.739
No	S3	0.741
No	S3	0.595
No	S3	0.759
No	S3	0.723
No	S3	0.727
No	S3	0.701
No	S3	0.731
No	S3	0.44
No	S3	0.781
No	S3	0.647
No	S4	0.409
No	S4	0.745
No	S4	0.243
No	S4	0.77
No	S4	0.693
No	S4	0.762
No	S4	0.663
No	S4	0.63
No	S4	0.685
No	S4	0.663
No	S4	0.658
No	S4	0.389
No	S4	0.244
No	S4	0.715
No	S4	0.393
No	S4	0.185
No	S4	0.686
No	S4	0.484
No	S4	0.299
No	S4	0.206
Si	S1	0.817
Si	S1	0.815
Si	S1	0.799
Si	S1	0.813
Si	S1	0.809
Si	S1	0.811
Si	S1	0.785
Si	S1	0.806
Si	S1	0.806
Si	S1	0.816
Si	S1	0.821
Si	S1	0.823
Si	S1	0.801
Si	S1	0.817
Si	S1	0.799
Si	S1	0.803
Si	S1	0.792
Si	S1	0.79
Si	S1	0.814
Si	S1	0.826
Si	S2	0.772
Si	S2	0.812
Si	S2	0.814
Si	S2	0.799
Si	S2	0.812
Si	S2	0.808
Si	S2	0.737
Si	S2	0.805
Si	S2	0.752
Si	S2	0.821
Si	S2	0.802
Si	S2	0.775
Si	S2	0.801
Si	S2	0.764
Si	S2	0.795
Si	S2	0.792
Si	S2	0.796
Si	S2	0.814
Si	S2	0.785
Si	S2	0.791
Si	S3	0.813
Si	S3	0.801
Si	S3	0.82
Si	S3	0.625
Si	S3	0.825
Si	S3	0.804
Si	S3	0.827
Si	S3	0.821
Si	S3	0.783
Si	S3	0.815
Si	S3	0.819
Si	S3	0.821
Si	S3	0.816
Si	S3	0.817
Si	S3	0.816
Si	S3	0.806
Si	S3	0.758
Si	S3	0.818
Si	S3	0.819
Si	S3	0.82
Si	S4	0.811
Si	S4	0.814
Si	S4	0.813
Si	S4	0.803
Si	S4	0.795
Si	S4	0.772
Si	S4	0.812
Si	S4	0.81
Si	S4	0.822
Si	S4	0.818
Si	S4	0.812
Si	S4	0.813
Si	S4	0.829
Si	S4	0.813
Si	S4	0.823
Si	S4	0.829
Si	S4	0.801
Si	S4	0.812
Si	S4	0.823
Si	S4	0.816
