"trat_A"	"trat_B"	"var"	"trat_A_B"
"A"	"H"	0.727041328980092	"A*H"
"A"	"H"	0.691701723777398	"A*H"
"A"	"H"	0.861655812571085	"A*H"
"A"	"H"	0.707967409516908	"A*H"
"A"	"H"	0.678849175862055	"A*H"
"A"	"M"	0.713078004961576	"A*M"
"A"	"M"	0.686927979422279	"A*M"
"A"	"M"	0.705988395432104	"A*M"
"A"	"M"	0.768091655872412	"A*M"
"A"	"M"	0.824017074888032	"A*M"
"B"	"H"	1.53687210716034	"B*H"
"B"	"H"	1.67542234784377	"B*H"
"B"	"H"	1.63029407880624	"B*H"
"B"	"H"	1.61189987553537	"B*H"
"B"	"H"	1.68857483407	"B*H"
"B"	"M"	1.37077605269963	"B*M"
"B"	"M"	1.39318879595115	"B*M"
"B"	"M"	1.64246667112917	"B*M"
"B"	"M"	1.5464740934729	"B*M"
"B"	"M"	1.56442849638997	"B*M"
"C"	"H"	2.98480821373613	"C*H"
"C"	"H"	3.26867704761262	"C*H"
"C"	"H"	2.74904023154895	"C*H"
"C"	"H"	3.2242572557893	"C*H"
"C"	"H"	3.08101936158877	"C*H"
"C"	"M"	3.12827531075942	"C*M"
"C"	"M"	3.11707784607855	"C*M"
"C"	"M"	3.24821686887643	"C*M"
"C"	"M"	2.79475799481925	"C*M"
"C"	"M"	2.88651151444039	"C*M"
