A	gs	Temp_C	CO2_atm	VPD_kPa	PAR_MJ
5.075456781	0.051803045	12.83333333	387.320185	4.970609041	5.28515226
5.788732658	0.054099306	14.08333333	402.0685431	5.662465315	5.40993063
6.290323618	0.062903236	15.33333333	400.4769936	6.140647236	5.841294472
6.439775425	0.062647006	16.58333333	377.7708884	6.264700567	6.439775425
6.680148914	0.066801489	17.83333333	374.5877896	6.680148914	6.882611686
7.783159879	0.070876395	19.08333333	407.8511727	7.783159879	7.087639514
7.487172368	0.082767931	20.33333333	407.055398	8.276793092	7.750379276
8.471873737	0.087684369	21.58333333	406.2596232	8.768436868	8.768436868
8.262364832	0.092580912	22.83333333	405.4638485	9.258091208	8.262364832
9.713307011	0.09346614	24	374.1633764	8.979921033	9.346614022
9.054151972	0.09054152	25.5	403.7661958	10.29603799	9.468113979
10.23586753	0.102358675	26.5	369.3887281	9.788801295	10.68293376
9.717256796	0.097172568	27.83333333	349.1229987	9.717256796	10.2104426
10.06108542	0.100610854	29.08333333	345.9398998	10.06108542	10.59956406
10.98271722	0.121542391	30.33333333	362.0676007	10.98271722	10.98271722
11.99493471	0.113599021	31.58333333	339.5737021	10.72486942	10.72486942
12.4174124	0.117311186	32.83333333	378.1953016	12.4174124	13.1037062
11.35682244	0.135754556	34.08333333	333.2075044	11.35682244	12.83591122
13.25043116	0.140452156	35.33333333	375.0122028	13.25043116	11.66086233
12.80895835	0.128089584	36.58333333	396.7103267	14.51298612	12.80895835
14.97876722	0.149787672	37.83333333	347.7436558	13.15630165	12.24506886
14.47011775	0.125252355	39.08333333	345.3563317	13.49767663	12.52523551
15.9043611	0.159043611	40.33333333	394.3230025	15.9043611	13.8330833
14.16252167	0.130616956	41.58333333	367.0544556	15.26334778	14.16252167
16.82199724	0.168219972	42.83333333	365.4629062	15.65399448	16.82199724
16.04066231	0.172778312	44.08333333	363.8713567	16.04066231	17.27783115
17.73167563	0.164233513	45.33333333	304.5596146	13.80670253	17.73167563
