polifenol	antioxidante	arginina
2,74	55,414	7,858
2,45	43,721	12,950
1,80	17,113	4,279
1,72	66,492	8,783
1,49	28,683	4,705
1,46	24,635	3,125
1,36	48,063	7,742
1,35	23,464	5,895
1,34	23,181	10,013
1,32	14,549	4,619
1,32	20,965	2,621
1,29	16,932	5,935
1,24	19,951	7,385
1,18	14,659	4,417
1,18	19,039	6,434
1,17	12,898	6,026
1,15	22,418	5,552
1,12	15,045	10,306
1,12	16,486	7,681
1,12	16,714	12,048
1,11	15,504	5,552
1,10	15,851	8,514
1,07	13,132	9,402
1,05	23,088	9,098
1,02	13,546	10,120
1,01	13,426	5,065
0,98	18,690	9,614
0,97	13,720	4,108
0,92	13,918	5,556
0,88	13,178	3,104
0,80	18,724	5,131
0,80	12,969	6,496
0,80	10,720	6,188
0,63	18,528	9,863
0,61	4,810	9,174
0,59	22,883	9,426
